batter,sum,count,strike_rate,batting_tips
79,318,276,115.21739130434783,Good form
80,36,47,76.59574468085107,Improve strike rotation
81,13,9,144.44444444444443,Good form
82,96,67,143.28358208955223,Good form
83,5,4,125.0,Good form
84,29,42,69.04761904761905,Improve strike rotation
85,189,118,160.16949152542372,Good form
86,247,177,139.54802259887003,Good form
87,41,25,164.0,Good form
88,388,311,124.7588424437299,Good form
89,42,34,123.52941176470588,Good form
90,76,57,133.33333333333331,Good form
91,280,256,109.375,Good form
92,21,31,67.74193548387096,Improve strike rotation
93,306,338,90.53254437869822,Improve strike rotation
94,5,13,38.46153846153847,Improve strike rotation
95,124,102,121.56862745098039,Good form
96,1034,770,134.28571428571428,Good form
97,5,2,250.0,Good form
98,35,38,92.10526315789474,Improve strike rotation
99,6,7,85.71428571428571,Improve strike rotation
100,935,718,130.22284122562675,Good form
101,3,6,50.0,Improve strike rotation
102,2882,2272,126.84859154929578,Good form
103,125,116,107.75862068965519,Good form
104,10,14,71.42857142857143,Improve strike rotation
105,238,146,163.013698630137,Good form
106,1,3,33.33333333333333,Improve strike rotation
107,18,11,163.63636363636365,Good form
108,1400,1153,121.42237640936686,Good form
109,193,146,132.1917808219178,Good form
110,23,27,85.18518518518519,Improve strike rotation
111,40,36,111.11111111111111,Good form
112,2,5,40.0,Improve strike rotation
113,32,37,86.48648648648648,Improve strike rotation
114,187,124,150.80645161290323,Good form
115,707,472,149.78813559322032,Good form
116,15,21,71.42857142857143,Improve strike rotation
117,177,144,122.91666666666667,Good form
118,0,1,0.0,Improve strike rotation
119,20,31,64.51612903225806,Improve strike rotation
120,303,229,132.31441048034935,Good form
121,205,183,112.02185792349727,Good form
122,1329,974,136.4476386036961,Good form
123,390,403,96.7741935483871,Improve strike rotation
124,4997,3516,142.1217292377702,Good form
125,618,413,149.636803874092,Good form
126,538,436,123.39449541284404,Good form
127,98,119,82.35294117647058,Improve strike rotation
128,81,81,100.0,Good form
129,8,15,53.333333333333336,Improve strike rotation
130,16,24,66.66666666666666,Improve strike rotation
131,8,9,88.88888888888889,Improve strike rotation
132,971,774,125.45219638242895,Good form
133,169,158,106.9620253164557,Good form
134,181,120,150.83333333333334,Good form
135,78,77,101.29870129870129,Good form
136,4,3,133.33333333333331,Good form
137,25,49,51.02040816326531,Improve strike rotation
138,230,176,130.6818181818182,Good form
139,8,11,72.72727272727273,Improve strike rotation
140,3,8,37.5,Improve strike rotation
141,1559,1323,117.83824640967498,Good form
142,44,28,157.14285714285714,Good form
143,33,24,137.5,Good form
144,148,105,140.95238095238096,Good form
145,10,13,76.92307692307693,Improve strike rotation
146,2924,2171,134.68447719944726,Good form
147,6567,4849,135.4299855640338,Good form
148,12,9,133.33333333333331,Good form
149,304,267,113.85767790262172,Good form
150,375,325,115.38461538461537,Good form
151,21,23,91.30434782608695,Improve strike rotation
152,12,12,100.0,Good form
153,170,142,119.71830985915493,Good form
154,1560,1247,125.10024057738573,Good form
155,111,103,107.76699029126213,Good form
156,1466,1170,125.2991452991453,Good form
157,1322,1101,120.07266121707538,Good form
158,92,101,91.0891089108911,Improve strike rotation
159,26,26,100.0,Good form
160,351,274,128.1021897810219,Good form
161,1,3,33.33333333333333,Improve strike rotation
162,39,54,72.22222222222221,Improve strike rotation
163,53,64,82.8125,Improve strike rotation
164,295,251,117.52988047808766,Good form
165,115,102,112.74509803921569,Good form
166,80,61,131.14754098360655,Good form
167,121,118,102.54237288135593,Good form
168,6,5,120.0,Good form
169,11,9,122.22222222222223,Good form
170,924,669,138.11659192825113,Good form
171,4,13,30.76923076923077,Improve strike rotation
172,1,1,100.0,Good form
173,1808,1522,118.7910643889619,Good form
174,19,26,73.07692307692307,Improve strike rotation
175,44,48,91.66666666666666,Improve strike rotation
176,13,20,65.0,Improve strike rotation
177,2385,1803,132.27953410981698,Good form
178,104,113,92.03539823008849,Improve strike rotation
179,18,19,94.73684210526315,Improve strike rotation
180,460,408,112.74509803921569,Good form
181,13,13,100.0,Good form
182,167,163,102.45398773006136,Good form
183,347,237,146.41350210970467,Good form
184,654,499,131.06212424849699,Good form
185,1406,1181,119.05165114309906,Good form
186,24,15,160.0,Good form
187,14,13,107.6923076923077,Good form
188,4571,3435,133.07132459970887,Good form
189,14,19,73.68421052631578,Improve strike rotation
190,4,5,80.0,Improve strike rotation
191,183,179,102.23463687150837,Good form
192,3,13,23.076923076923077,Improve strike rotation
193,14,22,63.63636363636363,Improve strike rotation
194,4217,3524,119.66515323496027,Good form
195,22,22,100.0,Good form
196,739,691,106.9464544138929,Good form
197,3,7,42.857142857142854,Improve strike rotation
198,4,5,80.0,Improve strike rotation
199,65,55,118.18181818181819,Good form
200,284,331,85.80060422960725,Improve strike rotation
201,2,4,50.0,Improve strike rotation
202,663,552,120.1086956521739,Good form
203,2772,1842,150.4885993485342,Good form
204,15,16,93.75,Improve strike rotation
205,19,15,126.66666666666666,Good form
206,511,436,117.20183486238531,Good form
207,2,5,40.0,Improve strike rotation
208,993,613,161.99021207177816,Good form
209,190,159,119.49685534591194,Good form
210,22,25,88.0,Improve strike rotation
211,1,5,20.0,Improve strike rotation
212,886,837,105.8542413381123,Good form
213,2534,1814,139.69128996692393,Good form
214,577,418,138.03827751196172,Good form
215,66,67,98.50746268656717,Improve strike rotation
216,249,214,116.35514018691589,Good form
217,833,636,130.9748427672956,Good form
218,18,12,150.0,Good form
219,233,201,115.92039800995025,Good form
220,123,119,103.36134453781514,Good form
221,2,3,66.66666666666666,Improve strike rotation
222,7,4,175.0,Good form
223,57,71,80.28169014084507,Improve strike rotation
224,15,11,136.36363636363635,Good form
225,0,2,0.0,Improve strike rotation
226,1150,985,116.75126903553299,Good form
227,76,100,76.0,Improve strike rotation
228,7,18,38.88888888888889,Improve strike rotation
229,33,37,89.1891891891892,Improve strike rotation
230,88,86,102.32558139534885,Good form
231,2644,1991,132.79758915118032,Good form
232,23,24,95.83333333333334,Improve strike rotation
233,409,364,112.36263736263736,Good form
234,330,150,220.00000000000003,Good form
235,70,62,112.90322580645163,Good form
236,29,27,107.40740740740742,Good form
237,10,13,76.92307692307693,Improve strike rotation
238,40,38,105.26315789473684,Good form
239,975,712,136.93820224719101,Good form
240,17,27,62.96296296296296,Improve strike rotation
241,199,132,150.75757575757575,Good form
242,3583,2519,142.23898372369987,Good form
243,604,466,129.6137339055794,Good form
244,197,170,115.88235294117648,Good form
245,106,110,96.36363636363636,Improve strike rotation
246,92,93,98.9247311827957,Improve strike rotation
247,10,15,66.66666666666666,Improve strike rotation
248,3,4,75.0,Improve strike rotation
249,327,309,105.8252427184466,Good form
250,2427,2291,105.93627237014405,Good form
251,68,80,85.0,Improve strike rotation
252,614,460,133.47826086956522,Good form
253,18,17,105.88235294117648,Good form
254,0,1,0.0,Improve strike rotation
255,15,13,115.38461538461537,Good form
256,1589,1132,140.37102473498234,Good form
257,26,25,104.0,Good form
258,730,501,145.70858283433134,Good form
259,259,217,119.35483870967742,Good form
260,6,9,66.66666666666666,Improve strike rotation
261,2029,1680,120.77380952380952,Good form
262,527,406,129.80295566502463,Good form
263,8,6,133.33333333333331,Good form
264,19,29,65.51724137931035,Improve strike rotation
265,417,314,132.80254777070064,Good form
266,78,80,97.5,Improve strike rotation
267,8,11,72.72727272727273,Improve strike rotation
268,36,30,120.0,Good form
269,218,239,91.21338912133892,Improve strike rotation
270,247,159,155.34591194968556,Good form
271,9,13,69.23076923076923,Improve strike rotation
272,206,207,99.51690821256038,Improve strike rotation
273,12,9,133.33333333333331,Good form
274,0,4,0.0,Improve strike rotation
275,65,55,118.18181818181819,Good form
276,1,2,50.0,Improve strike rotation
277,3437,2447,140.45770331017573,Good form
278,10,9,111.11111111111111,Good form
279,51,53,96.22641509433963,Improve strike rotation
280,24,21,114.28571428571428,Good form
281,1687,1424,118.4691011235955,Good form
282,4843,3687,131.35340385136968,Good form
283,1647,1287,127.97202797202797,Good form
284,13,8,162.5,Good form
285,1,7,14.285714285714285,Improve strike rotation
286,116,70,165.71428571428572,Good form
287,1496,1192,125.503355704698,Good form
288,22,34,64.70588235294117,Improve strike rotation
289,4689,3578,131.05086640581328,Good form
290,0,2,0.0,Improve strike rotation
291,1208,1012,119.36758893280633,Good form
292,18,26,69.23076923076923,Improve strike rotation
293,5,3,166.66666666666669,Good form
294,2,4,50.0,Improve strike rotation
295,1001,758,132.05804749340368,Good form
296,379,276,137.31884057971016,Good form
297,0,3,0.0,Improve strike rotation
298,199,168,118.45238095238095,Good form
299,16,25,64.0,Improve strike rotation
300,2132,1734,122.95271049596307,Good form
301,351,306,114.70588235294117,Good form
302,36,39,92.3076923076923,Improve strike rotation
303,128,78,164.1025641025641,Good form
304,3,5,60.0,Improve strike rotation
305,12,17,70.58823529411765,Improve strike rotation
306,13,16,81.25,Improve strike rotation
307,183,224,81.69642857142857,Improve strike rotation
308,3,7,42.857142857142854,Improve strike rotation
309,0,2,0.0,Improve strike rotation
310,36,50,72.0,Improve strike rotation
311,34,37,91.8918918918919,Improve strike rotation
312,9,3,300.0,Good form
313,81,71,114.08450704225352,Good form
314,302,251,120.3187250996016,Good form
315,1,2,50.0,Improve strike rotation
316,1,3,33.33333333333333,Improve strike rotation
317,68,48,141.66666666666669,Good form
318,106,63,168.25396825396825,Good form
319,1079,878,122.89293849658314,Good form
320,40,27,148.14814814814815,Good form
321,405,358,113.12849162011173,Good form
322,1017,847,120.07083825265643,Good form
323,939,609,154.1871921182266,Good form
324,305,301,101.32890365448506,Good form
325,4,4,100.0,Good form
326,35,50,70.0,Improve strike rotation
327,66,71,92.95774647887323,Improve strike rotation
328,259,258,100.3875968992248,Good form
329,113,109,103.6697247706422,Good form
330,73,78,93.58974358974359,Improve strike rotation
331,514,486,105.76131687242798,Good form
332,48,44,109.09090909090908,Good form
333,126,93,135.48387096774192,Good form
334,20,30,66.66666666666666,Improve strike rotation
335,11,19,57.89473684210527,Improve strike rotation
336,9,24,37.5,Improve strike rotation
337,55,70,78.57142857142857,Improve strike rotation
338,553,413,133.89830508474577,Good form
339,7,7,100.0,Good form
340,2619,2208,118.61413043478262,Good form
341,1083,863,125.49246813441484,Good form
342,1,2,50.0,Improve strike rotation
343,2669,2081,128.25564632388276,Good form
344,24,22,109.09090909090908,Good form
345,105,109,96.3302752293578,Improve strike rotation
346,12,10,120.0,Good form
347,1000,801,124.84394506866417,Good form
348,125,134,93.28358208955224,Improve strike rotation
349,237,213,111.26760563380283,Good form
350,26,26,100.0,Good form
351,14,13,107.6923076923077,Good form
352,1977,1648,119.96359223300972,Good form
353,177,124,142.74193548387098,Good form
354,58,49,118.36734693877551,Good form
355,167,168,99.40476190476191,Improve strike rotation
356,98,96,102.08333333333333,Good form
357,271,197,137.56345177664974,Good form
358,278,198,140.4040404040404,Good form
359,85,73,116.43835616438356,Good form
360,70,77,90.9090909090909,Improve strike rotation
361,1,2,50.0,Improve strike rotation
362,527,389,135.47557840616966,Good form
363,3859,3288,117.36618004866179,Good form
364,1695,1489,113.83478844862324,Good form
365,1107,839,131.94278903456495,Good form
366,1162,849,136.86690223792698,Good form
367,39,41,95.1219512195122,Improve strike rotation
368,124,137,90.51094890510949,Improve strike rotation
369,161,174,92.52873563218391,Improve strike rotation
370,167,135,123.7037037037037,Good form
371,1866,1366,136.60322108345534,Good form
372,665,532,125.0,Good form
373,798,737,108.27679782903662,Good form
374,5243,3947,132.8350646060299,Good form
375,99,76,130.26315789473685,Good form
376,183,185,98.91891891891892,Improve strike rotation
377,394,318,123.89937106918238,Good form
378,117,99,118.18181818181819,Good form
379,1706,1418,120.31029619181946,Good form
380,2,2,100.0,Good form
381,0,1,0.0,Improve strike rotation
382,117,82,142.6829268292683,Good form
383,2,12,16.666666666666664,Improve strike rotation
384,3,6,50.0,Improve strike rotation
385,64,84,76.19047619047619,Improve strike rotation
386,221,157,140.76433121019107,Good form
387,74,82,90.2439024390244,Improve strike rotation
388,109,122,89.34426229508196,Improve strike rotation
389,1,2,50.0,Improve strike rotation
390,25,27,92.5925925925926,Improve strike rotation
391,12,15,80.0,Improve strike rotation
392,6,6,100.0,Good form
393,10,20,50.0,Improve strike rotation
394,13,23,56.52173913043478,Improve strike rotation
395,162,155,104.51612903225806,Good form
396,1769,1143,154.7681539807524,Good form
397,2636,2015,130.81885856079404,Good form
398,140,143,97.9020979020979,Improve strike rotation
399,350,261,134.09961685823754,Good form
400,0,13,0.0,Improve strike rotation
401,20,21,95.23809523809523,Improve strike rotation
402,1,1,100.0,Good form
403,121,124,97.58064516129032,Improve strike rotation
404,26,23,113.04347826086956,Good form
405,424,326,130.06134969325154,Good form
406,82,75,109.33333333333333,Good form
407,31,53,58.490566037735846,Improve strike rotation
408,19,26,73.07692307692307,Improve strike rotation
409,1554,1360,114.26470588235293,Good form
410,140,84,166.66666666666669,Good form
411,33,38,86.8421052631579,Improve strike rotation
412,18,26,69.23076923076923,Improve strike rotation
413,303,221,137.10407239819006,Good form
414,13,18,72.22222222222221,Improve strike rotation
415,506,405,124.93827160493827,Good form
416,8,5,160.0,Good form
417,51,50,102.0,Good form
418,5,14,35.714285714285715,Improve strike rotation
419,8,6,133.33333333333331,Good form
420,127,141,90.0709219858156,Improve strike rotation
421,23,33,69.6969696969697,Improve strike rotation
422,340,323,105.26315789473684,Good form
423,365,301,121.26245847176081,Good form
424,1,3,33.33333333333333,Improve strike rotation
425,19,25,76.0,Improve strike rotation
426,19,13,146.15384615384613,Good form
427,756,528,143.1818181818182,Good form
428,2848,2442,116.62571662571663,Good form
429,164,167,98.20359281437125,Improve strike rotation
430,277,201,137.81094527363186,Good form
431,505,432,116.89814814814814,Good form
432,203,159,127.67295597484276,Good form
433,653,385,169.6103896103896,Good form
434,515,359,143.4540389972145,Good form
435,26,47,55.319148936170215,Improve strike rotation
436,273,247,110.5263157894737,Good form
437,1,2,50.0,Improve strike rotation
438,97,75,129.33333333333331,Good form
439,624,580,107.58620689655172,Good form
440,16,45,35.55555555555556,Improve strike rotation
441,1892,1321,143.22482967448903,Good form
442,92,97,94.84536082474226,Improve strike rotation
443,6,12,50.0,Improve strike rotation
444,18,39,46.15384615384615,Improve strike rotation
445,43,32,134.375,Good form
446,72,80,90.0,Improve strike rotation
447,7,12,58.333333333333336,Improve strike rotation
448,17,20,85.0,Improve strike rotation
449,3160,2410,131.12033195020746,Good form
450,800,698,114.61318051575931,Good form
451,342,290,117.9310344827586,Good form
452,19,17,111.76470588235294,Good form
453,210,188,111.70212765957446,Good form
454,2174,1918,113.34723670490095,Good form
455,159,178,89.32584269662921,Improve strike rotation
456,3,6,50.0,Improve strike rotation
457,1173,909,129.04290429042905,Good form
458,360,254,141.73228346456693,Good form
459,51,52,98.07692307692307,Improve strike rotation
460,222,146,152.05479452054794,Good form
461,13,6,216.66666666666666,Good form
462,0,2,0.0,Improve strike rotation
463,270,236,114.40677966101696,Good form
464,66,77,85.71428571428571,Improve strike rotation
465,115,68,169.11764705882354,Good form
466,19,23,82.6086956521739,Improve strike rotation
467,1013,788,128.55329949238578,Good form
468,310,289,107.26643598615917,Good form
469,11,14,78.57142857142857,Improve strike rotation
470,2959,2378,124.4322960470984,Good form
471,2236,1650,135.51515151515153,Good form
472,129,127,101.5748031496063,Good form
473,2380,1781,133.63279056709715,Good form
474,83,74,112.16216216216218,Good form
475,159,144,110.41666666666667,Good form
476,2,2,100.0,Good form
477,6630,5183,127.91819409608335,Good form
478,2,2,100.0,Good form
479,117,112,104.46428571428572,Good form
480,32,32,100.0,Good form
481,103,105,98.09523809523809,Improve strike rotation
482,3,6,50.0,Improve strike rotation
483,10,27,37.03703703703704,Improve strike rotation
484,893,654,136.54434250764527,Good form
485,799,534,149.625468164794,Good form
486,326,238,136.9747899159664,Good form
487,0,3,0.0,Improve strike rotation
488,52,78,66.66666666666666,Improve strike rotation
489,0,2,0.0,Improve strike rotation
490,3297,2296,143.59756097560975,Good form
491,67,64,104.6875,Good form
492,20,18,111.11111111111111,Good form
493,473,321,147.35202492211837,Good form
494,73,78,93.58974358974359,Improve strike rotation
495,531,468,113.46153846153845,Good form
496,2,8,25.0,Improve strike rotation
497,4,2,200.0,Good form
498,91,129,70.54263565891473,Improve strike rotation
499,50,53,94.33962264150944,Improve strike rotation
500,80,76,105.26315789473684,Good form
501,4954,3927,126.15227909345556,Good form
502,289,228,126.75438596491229,Good form
503,170,106,160.37735849056605,Good form
504,545,355,153.52112676056336,Good form
505,40,40,100.0,Good form
506,32,52,61.53846153846154,Improve strike rotation
507,136,121,112.39669421487604,Good form
508,59,59,100.0,Good form
509,13,25,52.0,Improve strike rotation
510,1441,1245,115.74297188755021,Good form
511,25,33,75.75757575757575,Improve strike rotation
512,6769,5483,123.45431333211745,Good form
513,1502,1077,139.46146703806872,Good form
514,180,173,104.04624277456647,Good form
515,20,36,55.55555555555556,Improve strike rotation
516,0,1,0.0,Improve strike rotation
517,0,10,0.0,Improve strike rotation
518,0,1,0.0,Improve strike rotation
519,39,88,44.31818181818182,Improve strike rotation
520,37,29,127.58620689655173,Good form
521,91,82,110.97560975609757,Good form
522,2,4,50.0,Improve strike rotation
523,368,311,118.32797427652733,Good form
524,34,57,59.64912280701754,Improve strike rotation
525,31,38,81.57894736842105,Improve strike rotation
526,3,4,75.0,Improve strike rotation
527,145,115,126.08695652173914,Good form
528,22,18,122.22222222222223,Good form
529,423,352,120.17045454545455,Good form
530,3594,2522,142.50594766058683,Good form
531,49,58,84.48275862068965,Improve strike rotation
532,33,21,157.14285714285714,Good form
533,28,30,93.33333333333333,Improve strike rotation
534,6,16,37.5,Improve strike rotation
535,131,134,97.76119402985076,Improve strike rotation
536,2,3,66.66666666666666,Improve strike rotation
537,1349,1326,101.73453996983409,Good form
538,99,92,107.6086956521739,Good form
539,183,125,146.4,Good form
540,15,13,115.38461538461537,Good form
541,1,2,50.0,Improve strike rotation
542,2489,1913,130.10977522216413,Good form
543,106,107,99.06542056074767,Improve strike rotation
544,6,7,85.71428571428571,Improve strike rotation
545,5,5,100.0,Good form
546,5536,4177,132.53531242518554,Good form
547,42,61,68.85245901639344,Improve strike rotation
548,198,219,90.41095890410958,Improve strike rotation
549,88,103,85.43689320388349,Improve strike rotation
550,883,673,131.2035661218425,Good form
551,9,14,64.28571428571429,Improve strike rotation
552,241,191,126.17801047120419,Good form
553,147,116,126.72413793103448,Good form
554,10,17,58.82352941176471,Improve strike rotation
555,585,456,128.28947368421052,Good form
556,307,228,134.64912280701756,Good form
557,1243,854,145.5503512880562,Good form
558,196,171,114.61988304093566,Good form
559,293,307,95.43973941368078,Improve strike rotation
560,61,57,107.01754385964912,Good form
561,1534,984,155.8943089430894,Good form
562,2495,1999,124.81240620310155,Good form
563,2334,2044,114.18786692759295,Good form
564,3880,2892,134.1632088520055,Good form
565,0,2,0.0,Improve strike rotation
566,3131,2545,123.02554027504911,Good form
567,126,113,111.50442477876106,Good form
568,6,7,85.71428571428571,Improve strike rotation
569,1494,1291,115.72424477149497,Good form
570,768,573,134.03141361256544,Good form
571,880,700,125.71428571428571,Good form
572,4419,3270,135.1376146788991,Good form
573,503,399,126.06516290726817,Good form
574,23,26,88.46153846153845,Improve strike rotation
575,1,1,100.0,Good form
576,144,123,117.07317073170731,Good form
577,193,172,112.20930232558139,Good form
578,51,43,118.6046511627907,Good form
579,54,73,73.97260273972603,Improve strike rotation
580,25,22,113.63636363636364,Good form
581,18,16,112.5,Good form
582,536,467,114.77516059957173,Good form
583,81,46,176.08695652173913,Good form
584,795,665,119.54887218045114,Good form
585,423,272,155.51470588235296,Good form
586,51,58,87.93103448275862,Improve strike rotation
587,5,3,166.66666666666669,Good form
588,2,3,66.66666666666666,Improve strike rotation
589,1,6,16.666666666666664,Improve strike rotation
590,2,8,25.0,Improve strike rotation
591,52,49,106.12244897959184,Good form
592,3216,2432,132.23684210526315,Good form
593,182,143,127.27272727272727,Good form
594,7,8,87.5,Improve strike rotation
595,36,31,116.12903225806453,Good form
596,18,26,69.23076923076923,Improve strike rotation
597,0,1,0.0,Improve strike rotation
598,43,31,138.70967741935485,Good form
599,51,46,110.86956521739131,Good form
600,18,22,81.81818181818183,Improve strike rotation
601,11,16,68.75,Improve strike rotation
602,48,54,88.88888888888889,Improve strike rotation
603,11,20,55.00000000000001,Improve strike rotation
604,3,5,60.0,Improve strike rotation
605,2,4,50.0,Improve strike rotation
606,405,239,169.4560669456067,Good form
607,31,26,119.23076923076923,Good form
608,12,19,63.1578947368421,Improve strike rotation
609,83,82,101.21951219512195,Good form
610,10,29,34.48275862068966,Improve strike rotation
611,120,108,111.11111111111111,Good form
612,659,417,158.0335731414868,Good form
613,127,108,117.59259259259258,Good form
614,26,26,100.0,Good form
615,676,587,115.1618398637138,Good form
616,1153,1047,110.12416427889207,Good form
617,772,458,168.5589519650655,Good form
618,8,11,72.72727272727273,Improve strike rotation
619,75,59,127.11864406779661,Good form
620,8,14,57.14285714285714,Improve strike rotation
621,21,15,140.0,Good form
622,24,32,75.0,Improve strike rotation
623,1156,830,139.27710843373492,Good form
624,0,1,0.0,Improve strike rotation
625,7,15,46.666666666666664,Improve strike rotation
626,300,314,95.54140127388536,Improve strike rotation
627,127,105,120.95238095238095,Good form
628,208,211,98.5781990521327,Improve strike rotation
629,39,19,205.26315789473685,Good form
630,23,16,143.75,Good form
631,8014,6236,128.51186658114176,Good form
632,0,1,0.0,Improve strike rotation
633,2728,1833,148.82705946535734,Good form
634,1115,890,125.2808988764045,Good form
635,7,5,140.0,Good form
636,9,17,52.94117647058824,Improve strike rotation
637,29,26,111.53846153846155,Good form
638,50,73,68.4931506849315,Improve strike rotation
639,1326,1000,132.6,Good form
640,4,3,133.33333333333331,Good form
641,7,7,100.0,Good form
642,2,2,100.0,Good form
643,282,271,104.0590405904059,Good form
644,15,28,53.57142857142857,Improve strike rotation
645,14,13,107.6923076923077,Good form
646,15,26,57.692307692307686,Improve strike rotation
647,56,58,96.55172413793103,Improve strike rotation
648,69,49,140.81632653061226,Good form
649,130,129,100.7751937984496,Good form
650,56,76,73.68421052631578,Improve strike rotation
651,65,86,75.5813953488372,Improve strike rotation
652,230,133,172.93233082706766,Good form
653,2934,2368,123.90202702702702,Good form
654,81,73,110.95890410958904,Good form
655,378,341,110.85043988269794,Good form
656,10,17,58.82352941176471,Improve strike rotation
657,19,18,105.55555555555556,Good form
658,285,271,105.1660516605166,Good form
659,0,1,0.0,Improve strike rotation
660,985,865,113.87283236994219,Good form
661,0,1,0.0,Improve strike rotation
662,1607,1095,146.7579908675799,Good form
663,3222,2334,138.04627249357327,Good form
664,37,89,41.57303370786517,Improve strike rotation
665,16,23,69.56521739130434,Improve strike rotation
666,192,183,104.91803278688525,Good form
667,0,1,0.0,Improve strike rotation
668,47,67,70.1492537313433,Improve strike rotation
669,3,7,42.857142857142854,Improve strike rotation
670,22,16,137.5,Good form
671,2754,2207,124.78477571363842,Good form
672,117,141,82.97872340425532,Improve strike rotation
